antecedent,consequent,confidence,lift,support,antecedent_with_desc,consequent_with_desc
['21136'],['84879'],0.7562189054726368,13.626288201847904,0.009414679467327346,['21136: PAINTED METAL PEARS ASSORTED'],['84879: ASSORTED COLOUR BIRD ORNAMENT']
['47590B'],['47590A'],0.6875,53.62167874396135,0.008857231340972438,['47590B: PINK HAPPY BIRTHDAY BUNTING'],['47590A: BLUE HAPPY BIRTHDAY BUNTING']
['21733'],['85123A'],0.6230529595015576,8.627092651074312,0.012387736141220192,['21733: RED HANGING HEART T-LIGHT HOLDER'],['85123A: WHITE HANGING HEART T-LIGHT HOLDER']
"['22698', '22697']",['22699'],0.8327272727272728,28.24449961802903,0.01418395788169712,"['22698: PINK REGENCY TEACUP AND SAUCER', '22697: GREEN REGENCY TEACUP AND SAUCER']",['22699: ROSES REGENCY TEACUP AND SAUCER ']
"['22698', '22697', '22699']",['22423'],0.6026200873362445,9.025325890578541,0.008547537937441932,"['22698: PINK REGENCY TEACUP AND SAUCER', '22697: GREEN REGENCY TEACUP AND SAUCER', '22699: ROSES REGENCY TEACUP AND SAUCER ']",['22423: REGENCY CAKESTAND 3 TIER']
['22578'],['22577'],0.696078431372549,54.029741704374054,0.008795292660266336,['22578: WOODEN STAR CHRISTMAS SCANDINAVIAN'],['22577: WOODEN HEART CHRISTMAS SCANDINAVIAN']
"['22697', '22423']",['22699'],0.817351598173516,27.722986454855917,0.011087023846392072,"['22697: GREEN REGENCY TEACUP AND SAUCER', '22423: REGENCY CAKESTAND 3 TIER']",['22699: ROSES REGENCY TEACUP AND SAUCER ']
"['22697', '22423']",['22698'],0.7123287671232876,33.7259470533885,0.00966243419015175,"['22697: GREEN REGENCY TEACUP AND SAUCER', '22423: REGENCY CAKESTAND 3 TIER']",['22698: PINK REGENCY TEACUP AND SAUCER']
['22729'],['22727'],0.6612903225806451,21.395856228586204,0.007618457726850418,['22729: ALARM CLOCK BAKELIKE ORANGE'],['22727: ALARM CLOCK BAKELIKE RED ']
"['85099F', '22386']",['85099B'],0.8050314465408805,12.667868132945923,0.007928151130380923,"['85099F: JUMBO BAG STRAWBERRY', '22386: JUMBO BAG PINK POLKADOT']",['85099B: JUMBO BAG RED RETROSPOT']
['21086'],['21094'],0.7852760736196319,67.79830058068961,0.007928151130380923,['21086: SET/6 RED SPOTTY PAPER CUPS'],['21094: SET/6 RED SPOTTY PAPER PLATES']
['23300'],['23301'],0.6679389312977099,31.167266028328108,0.010839269123567669,['23300: GARDENERS KNEELING PAD CUP OF TEA '],['23301: GARDENERS KNEELING PAD KEEP CALM ']
"['22384', '20728']",['20725'],0.6031746031746031,15.145029499617367,0.007061009600495509,"['22384: LUNCH BAG PINK POLKADOT', '20728: LUNCH BAG CARS BLUE']",['20725: LUNCH BAG RED RETROSPOT']
"['22697', '22699']",['22698'],0.7089783281733746,33.56731703331124,0.01418395788169712,"['22697: GREEN REGENCY TEACUP AND SAUCER', '22699: ROSES REGENCY TEACUP AND SAUCER ']",['22698: PINK REGENCY TEACUP AND SAUCER']
['22697'],['22699'],0.7476851851851852,25.360036375661377,0.02000619386807061,['22697: GREEN REGENCY TEACUP AND SAUCER'],['22699: ROSES REGENCY TEACUP AND SAUCER ']
['22697'],['22698'],0.6365740740740741,30.139262246117088,0.017033137194177764,['22697: GREEN REGENCY TEACUP AND SAUCER'],['22698: PINK REGENCY TEACUP AND SAUCER']
['22699'],['22697'],0.6785714285714286,25.360036375661377,0.02000619386807061,['22699: ROSES REGENCY TEACUP AND SAUCER '],['22697: GREEN REGENCY TEACUP AND SAUCER']
['23171'],['23170'],0.8486842105263158,73.272762454264,0.007990089811087024,['23171: REGENCY TEA PLATE GREEN '],['23170: REGENCY TEA PLATE ROSES ']
['22726'],['22727'],0.6382022471910113,20.64884825831438,0.017590585320532672,['22726: ALARM CLOCK BAKELIKE GREEN'],['22727: ALARM CLOCK BAKELIKE RED ']
"['23202', '85099B']",['23203'],0.6205128205128205,15.702475685234306,0.007494580365438216,"['23202: JUMBO BAG VINTAGE LEAF', '85099B: JUMBO BAG RED RETROSPOT']",['23203: JUMBO BAG VINTAGE DOILY ']
['22725'],['22727'],0.7116564417177914,23.02543737782313,0.007184886961907711,['22725: ALARM CLOCK BAKELIKE CHOCOLATE'],['22727: ALARM CLOCK BAKELIKE RED ']
['22730'],['22727'],0.65625,21.232778056112224,0.010405698358624961,['22730: ALARM CLOCK BAKELIKE IVORY'],['22727: ALARM CLOCK BAKELIKE RED ']
"['22728', '22726']",['22727'],0.7409638554216867,23.973670232030326,0.007618457726850418,"['22728: ALARM CLOCK BAKELIKE PINK', '22726: ALARM CLOCK BAKELIKE GREEN']",['22727: ALARM CLOCK BAKELIKE RED ']
['22698'],['22699'],0.7478005865102639,25.36395056556347,0.015794363580055745,['22698: PINK REGENCY TEACUP AND SAUCER'],['22699: ROSES REGENCY TEACUP AND SAUCER ']
['22698'],['22697'],0.8064516129032258,30.139262246117084,0.017033137194177764,['22698: PINK REGENCY TEACUP AND SAUCER'],['22697: GREEN REGENCY TEACUP AND SAUCER']
"['22698', '22699', '22423']",['22697'],0.9019607843137255,33.70869644153958,0.008547537937441932,"['22698: PINK REGENCY TEACUP AND SAUCER', '22699: ROSES REGENCY TEACUP AND SAUCER ', '22423: REGENCY CAKESTAND 3 TIER']",['22697: GREEN REGENCY TEACUP AND SAUCER']
['47590A'],['47590B'],0.6908212560386473,53.621678743961354,0.008857231340972438,['47590A: BLUE HAPPY BIRTHDAY BUNTING'],['47590B: PINK HAPPY BIRTHDAY BUNTING']
['85099F'],['85099B'],0.6413043478260869,10.091480210187305,0.014617528646639826,['85099F: JUMBO BAG STRAWBERRY'],['85099B: JUMBO BAG RED RETROSPOT']
"['22697', '22699', '22423']",['22698'],0.770949720670391,36.50141712675503,0.008547537937441932,"['22697: GREEN REGENCY TEACUP AND SAUCER', '22699: ROSES REGENCY TEACUP AND SAUCER ', '22423: REGENCY CAKESTAND 3 TIER']",['22698: PINK REGENCY TEACUP AND SAUCER']
['22804'],['85123A'],0.6888888888888889,9.538688774537832,0.007680396407556519,['22804: CANDLEHOLDER PINK HANGING HEART'],['85123A: WHITE HANGING HEART T-LIGHT HOLDER']
"['22698', '22699']",['22423'],0.6,8.986085343228199,0.009476618148033448,"['22698: PINK REGENCY TEACUP AND SAUCER', '22699: ROSES REGENCY TEACUP AND SAUCER ']",['22423: REGENCY CAKESTAND 3 TIER']
"['22698', '22699']",['22697'],0.8980392156862745,33.562136891793756,0.01418395788169712,"['22698: PINK REGENCY TEACUP AND SAUCER', '22699: ROSES REGENCY TEACUP AND SAUCER ']",['22697: GREEN REGENCY TEACUP AND SAUCER']
['22617'],['22138'],0.7022222222222222,24.329136862184072,0.009786311551563951,['22617: BAKING SET SPACEBOY DESIGN'],['22138: BAKING SET 9 PIECE RETROSPOT ']
['23170'],['23171'],0.6898395721925134,73.272762454264,0.007990089811087024,['23170: REGENCY TEA PLATE ROSES '],['23171: REGENCY TEA PLATE GREEN ']
"['22728', '22727']",['22726'],0.640625,23.24245084269663,0.007618457726850418,"['22728: ALARM CLOCK BAKELIKE PINK', '22727: ALARM CLOCK BAKELIKE RED ']",['22726: ALARM CLOCK BAKELIKE GREEN']
['21094'],['21086'],0.6844919786096256,67.7983005806896,0.007928151130380923,['21094: SET/6 RED SPOTTY PAPER PLATES'],['21086: SET/6 RED SPOTTY PAPER CUPS']
['21094'],['21080'],0.6631016042780749,27.879623440285204,0.007680396407556519,['21094: SET/6 RED SPOTTY PAPER PLATES'],['21080: SET/20 RED RETROSPOT PAPER NAPKINS ']
"['22699', '22423']",['22697'],0.7427385892116183,27.75813546949439,0.011087023846392072,"['22699: ROSES REGENCY TEACUP AND SAUCER ', '22423: REGENCY CAKESTAND 3 TIER']",['22697: GREEN REGENCY TEACUP AND SAUCER']
